Agency,NameCity,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,drivingTime_hrs,distance_km
ADRA ,Tanna,Vanuatu,"Tanna, Vanuatu - ADRA ",-19.574483,169.293456,Vanuatu,Malo Island,-15.656333,167.172131,1000000,1000000
ADRA ,Tanna,Vanuatu,"Tanna, Vanuatu - ADRA ",-19.574483,169.293456,Vanuatu,Merelava Island,-14.460985,168.047862,1000000,1000000
ADRA ,Tanna,Vanuatu,"Tanna, Vanuatu - ADRA ",-19.574483,169.293456,Vanuatu,Paama Island,-16.468264,168.236045,1000000,1000000
ADRA ,Tanna,Vanuatu,"Tanna, Vanuatu - ADRA ",-19.574483,169.293456,Vanuatu,Pentecost Island,-15.702834,168.182135,1000000,1000000
ADRA ,Tanna,Vanuatu,"Tanna, Vanuatu - ADRA ",-19.574483,169.293456,Vanuatu,Santo Island,-15.263325,166.913032,1000000,1000000
ADRA ,Tanna,Vanuatu,"Tanna, Vanuatu - ADRA ",-19.574483,169.293456,Vanuatu,Shepherd Islands,-17.074649,168.365189,1000000,1000000
ADRA ,Tanna,Vanuatu,"Tanna, Vanuatu - ADRA ",-19.574483,169.293456,Vanuatu,Tanna Island,-19.505233,169.353938,0,0
ADRA ,Tanna,Vanuatu,"Tanna, Vanuatu - ADRA ",-19.574483,169.293456,Vanuatu,Torres Islands,-13.244451,166.618161,1000000,1000000
ADRA ,Tanna,Vanuatu,"Tanna, Vanuatu - ADRA ",-19.574483,169.293456,Vanuatu,Vanua Lava Island,-13.835597,167.445095,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Ambae Island,-15.366142,167.814572,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Ambrym Island,-16.236908,168.157187,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Aneityum Island,-20.195206,169.807476,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Aniwa Islands,-19.25135,169.599552,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Efate Island,-17.640498,168.428964,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Epi Island,-16.733147,168.271542,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Erromango Island,-18.804354,169.151661,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Gaua Island,-14.273755,167.515452,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Maewo Island,-15.136524,168.120766,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Malekula Island,-16.283095,167.523529,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Malo Island,-15.656333,167.172131,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Merelava Island,-14.460985,168.047862,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Paama Island,-16.468264,168.236045,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Pentecost Island,-15.702834,168.182135,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Santo Island,-15.263325,166.913032,0,0
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Shepherd Islands,-17.074649,168.365189,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Tanna Island,-19.505233,169.353938,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Torres Islands,-13.244451,166.618161,1000000,1000000
ADRA ,Santo (Sarakata),Vanuatu,"Santo (Sarakata), Vanuatu - ADRA ",-15.510339,167.171469,Vanuatu,Vanua Lava Island,-13.835597,167.445095,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Ambae Island,-15.366142,167.814572,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Ambrym Island,-16.236908,168.157187,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Aneityum Island,-20.195206,169.807476,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Aniwa Islands,-19.25135,169.599552,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Efate Island,-17.640498,168.428964,0,0
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Epi Island,-16.733147,168.271542,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Erromango Island,-18.804354,169.151661,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Gaua Island,-14.273755,167.515452,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Maewo Island,-15.136524,168.120766,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Malekula Island,-16.283095,167.523529,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Malo Island,-15.656333,167.172131,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Merelava Island,-14.460985,168.047862,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Paama Island,-16.468264,168.236045,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Pentecost Island,-15.702834,168.182135,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Santo Island,-15.263325,166.913032,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Shepherd Islands,-17.074649,168.365189,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Tanna Island,-19.505233,169.353938,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Torres Islands,-13.244451,166.618161,1000000,1000000
CARITAS,Port Vila,Vanuatu,"Port Vila, Vanuatu - CARITAS",-17.734522,168.316375,Vanuatu,Vanua Lava Island,-13.835597,167.445095,1000000,1000000
